flight_id	x	y	z	t	v	heading	ver_v
1	-134393.4633	-50466.23571	2987.804878	8.189530988	289.8632643	84.49379869	19.96781412
1	-132968.6138	-50326.69387	2987.804878	8.323785595	290.8745872	84.60616482	-64
1	-132266.1374	-50258.71514	2987.804878	8.458040201	291.3322647	84.63778564	0
1	-130771.0761	-50115.95746	2987.804878	8.592294807	292.3692587	84.70138273	0
1	-129663.3668	-50010.71822	2987.804878	8.726549414	293.0639263	84.71379182	64
1	-128527.2384	-49903.69784	2987.804878	8.86080402	293.5537241	84.72266931	0
1	-127333.2253	-49792.00225	2987.804878	8.995058626	293.7435	84.7261	-18.18582572
1	-126075.2529	-49674.18585	2987.804878	9.129313233	293.7435	84.7261	0
1	-124843.2012	-49558.89722	2987.804878	9.263567839	293.6287584	84.72274595	0
1	-123635.0779	-49443.55957	2987.804878	9.397822446	293.4214755	84.67189484	64
1	-122181.9411	-49303.93127	2987.804878	9.532077052	293.4139368	84.61817378	0
1	-121507.0122	-49239.02102	2987.804878	9.666331658	293.6043462	84.59631396	64
1	-120208.9831	-49113.4515	2987.804878	9.800586265	294.2298423	84.55855287	-64
1	-118778.9833	-48974.57102	2987.804878	9.934840871	295.1909254	84.55159516	0
1	-117367.964	-48837.37472	2987.804878	10.06909548	296.2540731	84.56693343	-3.681336406
1	-116313.0418	-48733.69408	2987.804878	10.20335008	296.8153533	84.57725829	-64
1	-115355.1724	-48640.09111	2987.804878	10.33760469	297.1357594	84.58318903	10.45601737
1	-113776.8593	-48486.84384	2987.804878	10.4718593	297.609063	84.543396	123.8246017
1	-112767.3448	-48387.33357	2987.804878	10.6061139	297.7135179	84.51512498	0
1	-111281.2461	-48237.294	2987.804878	10.74036851	297.7551292	83.73012662	-64
1	-110351.3953	-48113.5816	2987.804878	10.87462312	297.9276337	82.15035034	0
1	-109053.7344	-47888.62926	2987.804878	11.00887772	298.1615473	79.44158043	20.9880556
1	-107754.8794	-47604.72792	2987.804878	11.14313233	298.3473848	76.49174976	0
1	-106981.79	-47411.05194	2987.804878	11.27738693	298.5066156	74.69515663	1.436703733
1	-105631.0183	-47006.64266	2987.804878	11.41164154	298.932876	71.55744079	-64
1	-104275.1999	-46532.87942	2987.804878	11.54589615	299.248048	69.95949573	0
1	-103313.9726	-46176.81376	2987.804878	11.68015075	299.3555202	69.59987209	64
1	-102031.0515	-45695.77342	2987.804878	11.81440536	299.4078578	69.45744954	-60.78524336
1	-100674.66	-45177.90434	2987.804878	11.94865997	299.3117338	69.09190899	-64
1	-99674.32733	-44785.37988	2987.804878	12.08291457	299.2183016	68.84904047	64
1	-98534.8977	-44339.00495	2987.804878	12.21716918	298.9439053	68.63449541	0
1	-97526.18167	-43939.47405	2987.804878	12.35142379	298.5386206	68.45926867	-1.321377728
1	-96170.76798	-43395.56044	2987.804878	12.48567839	297.9941468	68.33719379	38.70919964
1	-95162.11038	-42992.7386	2987.804878	12.619933	297.4491196	68.30110046	0
1	-93978.73211	-42520.24998	2987.804878	12.7541876	296.8045658	68.30119244	-64
1	-92888.85637	-42084.01107	2987.804878	12.88844221	296.2331026	68.3356404	-36.64529395
1	-91547.91327	-41547.92169	2987.804878	13.02269682	295.5727271	68.40143821	-64
1	-90569.76638	-41163.33831	2987.804878	13.15695142	295.094292	68.47431015	0
1	-89450.18167	-40716.16631	2987.804878	13.29120603	294.5291006	68.54494541	0
1	-88179.10505	-40212.00995	2987.530026	13.42546064	293.8402905	68.6583218	-64
1	-86936.2371	-39723.24414	2987.042683	13.55971524	292.9515769	68.72720164	35.79605256
1	-86217.32291	-39440.93812	2987.042683	13.69396985	292.3644205	68.77890286	-11.82389363
1	-85040.2677	-38982.53514	2987.42378	13.82822446	291.446969	68.77397934	-203.5052196
1	-84148.26676	-38631.74032	2985.456513	13.96247906	290.9724568	68.7365954	192
1	-82685.06157	-38064.50017	2973.353797	14.09673367	291.6842562	68.61200558	-464.2556471
1	-81540.55741	-37609.80006	2947.465661	14.23098827	294.5067834	68.52379652	-819.6332843
1	-80333.91286	-37130.96453	2902.577041	14.36524288	298.2465985	68.41198404	-1280
1	-79367.13609	-36744.49867	2860.68807	14.49949749	299.6324536	68.37905905	-1217.647688
1	-78056.62409	-36218.89156	2809.287212	14.63375209	298.0176945	68.45592933	-1024
1	-76965.28722	-35786.71209	2770.674224	14.7680067	294.2738388	68.44197332	-697.4056814
1	-75882.18261	-35360.69153	2713.735141	14.90226131	292.1953133	68.64943952	-1586.589669
1	-74698.47859	-34898.91932	2631.202292	15.03651591	292.2622931	68.60352725	-2147.4836
1	-73513.54069	-34431.56952	2549.989138	15.17077052	293.6334628	68.67280536	-2028.065202
1	-72600.38492	-34072.17429	2499.589844	15.30502513	294.4831026	68.81147948	-271.6999233
1	-71318.92865	-33568.91695	2454.994963	15.43927973	294.2046578	69.09788236	-640
1	-69888.05169	-33022.04276	2415.720662	15.57353434	292.949254	69.49675736	-704
1	-69101.38215	-32729.59988	2391.988022	15.70778894	292.9604297	69.59154775	-1011.89011
1	-68025.2414	-32327.57366	2356.39582	15.84204355	293.9587486	69.60880904	-1211.661252
1	-66878.7878	-31897.18825	2315.146014	15.97629816	295.5037823	69.50146473	-960
1	-65388.98776	-31336.03134	2261.150198	16.11055276	296.6675314	69.34857644	-704
